"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 14 10:48:33 PST 2026","Tue Apr 14 10:48:35 PST 2026","1271","","ContactListRegisterUserTests","","tests.contactList.ContactListRegisterUserTests","register2_user_returns_201","TC02 - Registration success",""
"passed","Tue Apr 14 10:48:31 PST 2026","Tue Apr 14 10:48:31 PST 2026","290","","DummyJsonAuthTests","","tests.dummyjson.auth.DummyJsonAuthTests","missing_username_should_return_400","TC04 - Missing username should return 400",""
"passed","Tue Apr 14 10:48:31 PST 2026","Tue Apr 14 10:48:33 PST 2026","1854","","ContactListEditContactTests","","tests.contactList.ContactListEditContactTests","edit2_contact_returns_200","TC02 - Edit success",""
"passed","Tue Apr 14 10:48:33 PST 2026","Tue Apr 14 10:48:35 PST 2026","1849","","ContactListEditContactTests","","tests.contactList.ContactListEditContactTests","edit1_contact_returns_200","TC01 - Edit success",""
"passed","Tue Apr 14 10:48:35 PST 2026","Tue Apr 14 10:48:40 PST 2026","5989","","HttpBinStatusTests","","tests.resiliency.HttpBinStatusTests","test_should_timeout_when_delay_exceeds_timeout","TC04 - Request timeout",""
"passed","Tue Apr 14 10:48:39 PST 2026","Tue Apr 14 10:48:39 PST 2026","356","","DummyJsonUserMeTests","","tests.dummyjson.auth.DummyJsonUserMeTests","user_me_invalid_token_should_return_401","TC10 - Get user info with invalid token",""
"passed","Tue Apr 14 10:48:35 PST 2026","Tue Apr 14 10:48:39 PST 2026","3510","","DummyJsonUserMeTests","","tests.dummyjson.auth.DummyJsonUserMeTests","user_me_multiple_times_should_return_same_user","TC12 - Multiple calls return same user info",""
"passed","Tue Apr 14 10:48:31 PST 2026","Tue Apr 14 10:48:32 PST 2026","1296","","ContactListRegisterUserTests","","tests.contactList.ContactListRegisterUserTests","register_user_returns_201","TC01 - Registration success",""
"passed","Tue Apr 14 10:48:32 PST 2026","Tue Apr 14 10:48:33 PST 2026","1245","","ContactListRegisterUserTests","","tests.contactList.ContactListRegisterUserTests","register5_user_returns_201","TC05 - Registration success",""
"passed","Tue Apr 14 10:48:23 PST 2026","Tue Apr 14 10:48:23 PST 2026","28","","tests.SampleTest","","tests.SampleTest","test","test()",""
